,Search Trends,close
2016-10-14 09:00:00,8.0,167.72
2016-10-14 10:00:00,17.0,168.9
2016-10-14 11:00:00,29.0,167.58
2016-10-14 12:00:00,40.0,167.78
2016-10-14 13:00:00,45.0,167.49
2016-10-14 14:00:00,48.0,167.98
2016-10-14 15:00:00,50.0,167.34
2016-10-17 09:00:00,6.0,167.98
2016-10-17 10:00:00,13.0,168.03
2016-10-17 11:00:00,24.0,168.82
2016-10-17 12:00:00,36.0,168.58
2016-10-17 13:00:00,42.0,167.775
2016-10-17 14:00:00,49.0,168.35
2016-10-17 15:00:00,51.0,167.89
2016-10-18 09:00:00,7.0,169.0
2016-10-18 10:00:00,15.0,167.83
2016-10-18 11:00:00,28.0,167.6
2016-10-18 12:00:00,40.0,167.94
2016-10-18 13:00:00,46.0,167.725
2016-10-18 14:00:00,51.0,167.81
2016-10-18 15:00:00,52.0,167.4
2016-10-19 09:00:00,7.0,168.85
2016-10-19 10:00:00,16.0,167.5
2016-10-19 11:00:00,28.0,167.91
2016-10-19 12:00:00,40.0,167.24
2016-10-19 13:00:00,45.0,168.17
2016-10-19 14:00:00,52.0,168.635
2016-10-19 15:00:00,54.0,169.34
2016-10-20 09:00:00,6.0,168.62
2016-10-20 10:00:00,12.0,168.72
2016-10-20 11:00:00,24.0,168.38
2016-10-20 12:00:00,33.0,170.0
2016-10-20 13:00:00,37.0,171.13
2016-10-20 14:00:00,40.0,171.325
2016-10-20 15:00:00,41.0,171.28
2016-10-21 09:00:00,6.0,171.12
2016-10-21 10:00:00,12.0,171.76
2016-10-21 11:00:00,23.0,172.59
2016-10-21 12:00:00,31.0,172.48
2016-10-21 13:00:00,35.0,173.16
2016-10-21 14:00:00,38.0,173.42
2016-10-21 15:00:00,39.0,173.85
2016-10-24 09:00:00,5.0,173.75
2016-10-24 10:00:00,10.0,173.09
2016-10-24 11:00:00,19.0,173.51
2016-10-24 12:00:00,29.0,172.93
2016-10-24 13:00:00,35.0,171.84
2016-10-24 14:00:00,40.0,171.98
2016-10-24 15:00:00,41.0,172.82
2016-10-25 09:00:00,6.0,172.36
2016-10-25 10:00:00,12.0,171.49
